         446564867 function calls (446165958 primitive calls) in 796.483 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   398903    0.121    0.000    0.121    0.000 {method 'pop' of 'list' objects}
   105662    0.355    0.000    0.355    0.000 {method 'read' of '_io.BufferedReader' objects}
   105639    0.718    0.000    8.823    0.000 {method 'read1' of '_io.BufferedReader' objects}
 11120350   13.427    0.000   26.311    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
 13521458   61.590    0.000   61.590    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        4    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
 10664660   25.551    0.000   25.551    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        6    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
 11120350    2.908    0.000    2.908    0.000 {method 'strip' of 'str' objects}
 14660464    4.974    0.000    4.974    0.000 {method 'update' of 'dict' objects}
    53017    0.158    0.000    0.158    0.000 {method 'write' of '_io.BufferedWriter' objects}
    10665    0.012    0.000    0.012    0.000 {method 'write' of '_io.TextIOWrapper' objects}


